DEPTH,CMRP_3MS,CMFF,BVI
4723,0.36688,0.31189,0.05499
4723.5,0.36178,0.30676,0.05501
4724,0.35618,0.29965,0.05653
4724.5,0.35068,0.29608,0.0546
4725,0.34765,0.29716,0.050485
4725.5,0.34462,0.29824,0.04637
4726,0.34069,0.29907,0.04161
4726.5,0.34164,0.29145,0.05019
4727,0.34841,0.27112,0.07729
4727.5,0.36001,0.25909,0.10092
4728,0.364545,0.254805,0.10974
4728.5,0.36908,0.25052,0.11856
4729,0.3623,0.24061,0.1217
4729.5,0.34345,0.23525,0.10821
4730,0.32667,0.22745,0.09922
4730.5,0.31756,0.23039,0.08718
4731,0.3184,0.2399,0.0785
4731.5,0.31924,0.24941,0.06982
4732,0.33198,0.26652,0.06546
4732.5,0.34462,0.27473,0.06989
4733,0.352,0.27729,0.07472
4733.5,0.35501,0.27644,0.07856
4734,0.35739,0.272405,0.08498
4734.5,0.35977,0.26837,0.0914
4735,0.36302,0.25452,0.1085
4735.5,0.35656,0.23797,0.11859
4736,0.33775,0.21937,0.11838
4736.5,0.31765,0.20042,0.11724
4737,0.31283,0.193765,0.119065
4737.5,0.30801,0.18711,0.12089
4738,0.30859,0.1751,0.13348
4738.5,0.31057,0.15208,0.15849
4739,0.30423,0.12592,0.17831
4739.5,0.2921,0.10507,0.18703
4740,0.28778,0.09634,0.19144
4740.5,0.28346,0.08761,0.19585
4741,0.27778,0.06748,0.2103
4741.5,0.2662,0.04218,0.22402
4742,0.25914,0.03124,0.2279
4742.5,0.25858,0.0404,0.21818
4743,0.25977,0.04696,0.212805
4743.5,0.26096,0.05352,0.20743
4744,0.28756,0.08607,0.20149
4744.5,0.29517,0.10693,0.18824
4745,0.29661,0.12269,0.17392
4745.5,0.295015,0.122965,0.17205
4746,0.29342,0.12324,0.17018
4746.5,0.2888,0.11672,0.17208
4747,0.29355,0.11826,0.17529
4747.5,0.30608,0.13586,0.17022
4748,0.32164,0.15863,0.16301
4748.5,0.328215,0.166545,0.16167
4749,0.33479,0.17446,0.16033
4749.5,0.34195,0.17863,0.16332
4750,0.34286,0.16445,0.1784
4750.5,0.33632,0.14406,0.19226
4751,0.32264,0.13602,0.18662
4751.5,0.317765,0.13661,0.181155
4752,0.31289,0.1372,0.17569
4752.5,0.31466,0.13124,0.18343
4753,0.3299,0.11697,0.21293
4753.5,0.34493,0.1082,0.23673
4754,0.347,0.11693,0.23008
4754.5,0.34679,0.131705,0.21509
4755,0.34658,0.14648,0.2001
4755.5,0.35736,0.17479,0.18257
4756,0.37492,0.19479,0.18013
4756.5,0.38215,0.21521,0.16694
4757,0.36782,0.22514,0.14268
4757.5,0.35829,0.22105,0.13724
4758,0.34876,0.21696,0.1318
4758.5,0.33499,0.20572,0.12927
4759,0.32374,0.20217,0.12157
4759.5,0.31308,0.19965,0.11343
4760,0.29898,0.1841,0.11488
4760.5,0.294675,0.17671,0.117965
4761,0.29037,0.16932,0.12105
4761.5,0.29078,0.16944,0.12134
4762,0.29135,0.16538,0.12597
4762.5,0.28614,0.14846,0.13768
4763,0.27566,0.13174,0.14392
4763.5,0.26989,0.126475,0.143415
4764,0.26412,0.12121,0.14291
4764.5,0.25923,0.10788,0.15136
4765,0.26582,0.09926,0.16656
4765.5,0.3182,0.11415,0.20406
4766,0.40602,0.15019,0.25583
4766.5,0.43999,0.1634,0.27659
4767,0.47396,0.17661,0.29735
